LECROYWaveRunnerkR 21099 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 09-May-2022 14:43:36 0                 
Time Ampl
-5.0000631e-007 -0.240446
-4.9995631e-007 -0.250744
-4.9990631e-007 -0.195545
-4.9985631e-007 -0.163826
-4.9980631e-007 -0.215867
-4.9975631e-007 -0.259944
-4.9970631e-007 -0.226714
-4.9965631e-007 -0.185384
-4.9960631e-007 -0.212709
-4.9955631e-007 -0.246625
-4.9950631e-007 -0.213121
-4.9945631e-007 -0.18456
-4.9940631e-007 -0.214082
-4.9935631e-007 -0.238111
-4.9930631e-007 -0.214768
-4.9925631e-007 -0.18964
-4.9920631e-007 -0.221634
-4.9915631e-007 -0.256237
-4.9910631e-007 -0.237425
-4.9905631e-007 -0.223694
-4.9900631e-007 -0.246899
-4.9895631e-007 -0.26832
-4.9890631e-007 -0.255275
-4.9885631e-007 -0.210649
-4.9880631e-007 -0.198428
-4.9875631e-007 -0.243604
-4.9870631e-007 -0.258708
-4.9865631e-007 -0.236876
-4.9860631e-007 -0.23001
-4.9855631e-007 -0.22287
-4.9850631e-007 -0.213121
-4.9845631e-007 -0.194309
-4.9840631e-007 -0.201861
-4.9835631e-007 -0.239759
-4.9830631e-007 -0.222458
-4.9825631e-007 -0.189228
-4.9820631e-007 -0.210512
-4.9815631e-007 -0.226303
-4.9810631e-007 -0.194858
-4.9805631e-007 -0.173575
-4.9800631e-007 -0.206667
-4.9795631e-007 -0.233717
-4.9790631e-007 -0.211885
-4.9785631e-007 -0.209825
-4.9780631e-007 -0.253078
-4.9775631e-007 -0.265025
-4.9770631e-007 -0.230834
-4.9765631e-007 -0.227676
-4.9760631e-007 -0.252255
-4.9755631e-007 -0.239896
-4.9750631e-007 -0.203234
-4.9745631e-007 -0.184148
-4.9740631e-007 -0.21573
-4.9735631e-007 -0.250058
-4.9730631e-007 -0.221085
-4.9725631e-007 -0.203097
-4.9720631e-007 -0.229873
-4.9715631e-007 -0.24429
-4.9710631e-007 -0.240858
-4.9705631e-007 -0.228774
-4.9700631e-007 -0.226165
-4.9695631e-007 -0.232619
-4.9690631e-007 -0.212159
-4.9685631e-007 -0.207491
-4.9680631e-007 -0.243467
-4.9675631e-007 -0.247861
-4.9670631e-007 -0.221359
-4.9665631e-007 -0.202136
-4.9660631e-007 -0.212434
-4.9655631e-007 -0.245664
-4.9650631e-007 -0.237837
-4.9645631e-007 -0.216004
-4.9640631e-007 -0.238386
-4.9635631e-007 -0.259532
-4.9630631e-007 -0.243741
-4.9625631e-007 -0.215318
-4.9620631e-007 -0.208727
-4.9615631e-007 -0.231383
-4.9610631e-007 -0.243329
-4.9605631e-007 -0.224655
-4.9600631e-007 -0.218201
-4.9595631e-007 -0.23715
-4.9590631e-007 -0.24278
-4.9585631e-007 -0.227813
-4.9580631e-007 -0.219437
-4.9575631e-007 -0.234404
-4.9570631e-007 -0.239347
-4.9565631e-007 -0.22644
-4.9560631e-007 -0.239073
-4.9555631e-007 -0.260631
-4.9550631e-007 -0.252255
-4.9545631e-007 -0.226714
-4.9540631e-007 -0.225341
-4.9535631e-007 -0.253353
-4.9530631e-007 -0.25761
-4.9525631e-007 -0.234267
-4.9520631e-007 -0.253216
-4.9515631e-007 -0.277383
-4.9510631e-007 -0.216828
-4.9505631e-007 -0.166984
-4.9500631e-007 -0.220124
-4.9495631e-007 -0.265299
-4.9490631e-007 -0.232207
-4.9485631e-007 -0.210786
-4.9480631e-007 -0.240171
-4.9475631e-007 -0.24635
-4.9470631e-007 -0.212571
-4.9465631e-007 -0.20241
-4.9460631e-007 -0.225204
-4.9455631e-007 -0.238249
-4.9450631e-007 -0.228774
-4.9445631e-007 -0.215592
-4.9440631e-007 -0.23001
-4.9435631e-007 -0.255687
-4.9430631e-007 -0.233305
-4.9425631e-007 -0.202685
-4.9420631e-007 -0.219849
-4.9415631e-007 -0.24127
-4.9410631e-007 -0.227126
-4.9405631e-007 -0.192798
-4.9400631e-007 -0.192112
-4.9395631e-007 -0.219162
-4.9390631e-007 -0.212571
-4.9385631e-007 -0.200625
-4.9380631e-007 -0.220535
-4.9375631e-007 -0.229873
-4.9370631e-007 -0.221497
-4.9365631e-007 -0.229461
-4.9360631e-007 -0.237699
-4.9355631e-007 -0.221634
-4.9350631e-007 -0.194034
-4.9345631e-007 -0.187443
-4.9340631e-007 -0.212709
-4.9335631e-007 -0.226852
-4.9330631e-007 -0.209962
-4.9325631e-007 -0.194034
-4.9320631e-007 -0.211885
-4.9315631e-007 -0.242368
-4.9310631e-007 -0.252666
-4.9305631e-007 -0.254863
-4.9300631e-007 -0.25198
-4.9295631e-007 -0.240308
-4.9290631e-007 -0.234129
-4.9285631e-007 -0.241132
-4.9280631e-007 -0.263239
-4.9275631e-007 -0.274636
-4.9270631e-007 -0.23564
-4.9265631e-007 -0.187718
-4.9260631e-007 -0.201724
-4.9255631e-007 -0.223968
-4.9250631e-007 -0.192112
-4.9245631e-007 -0.179342
-4.9240631e-007 -0.230559
-4.9235631e-007 -0.264063
-4.9230631e-007 -0.250469
-4.9225631e-007 -0.243604
-4.9220631e-007 -0.243192
-4.9215631e-007 -0.233168
-4.9210631e-007 -0.231932
-4.9205631e-007 -0.246487
-4.9200631e-007 -0.264201
-4.9195631e-007 -0.262004
-4.9190631e-007 -0.234816
-4.9185631e-007 -0.217515
-4.9180631e-007 -0.233992
-4.9175631e-007 -0.242093
-4.9170631e-007 -0.228225
-4.9165631e-007 -0.22644
-4.9160631e-007 -0.225204
-4.9155631e-007 -0.191975
-4.9150631e-007 -0.162315
-4.9145631e-007 -0.199389
-4.9140631e-007 -0.240858
-4.9135631e-007 -0.217927
-4.9130631e-007 -0.195545
-4.9125631e-007 -0.224655
-4.9120631e-007 -0.273538
-4.9115631e-007 -0.276421
-4.9110631e-007 -0.225479
-4.9105631e-007 -0.204333
-4.9100631e-007 -0.235502
-4.9095631e-007 -0.23358
-4.9090631e-007 -0.207491
-4.9085631e-007 -0.233717
-4.9080631e-007 -0.261454
-4.9075631e-007 -0.252392
-4.9070631e-007 -0.257198
-4.9065631e-007 -0.255413
-4.9060631e-007 -0.242093
-4.9055631e-007 -0.261592
-4.9050631e-007 -0.272714
-4.9045631e-007 -0.261454
-4.9040631e-007 -0.266123
-4.9035631e-007 -0.254589
-4.9030631e-007 -0.221909
-4.9025631e-007 -0.221771
-4.9020631e-007 -0.244016
-4.9015631e-007 -0.233031
-4.9010631e-007 -0.203234
-4.9005631e-007 -0.202273
-4.9000631e-007 -0.230971
-4.8995631e-007 -0.26118
-4.8990631e-007 -0.247723
-4.8985631e-007 -0.219712
-4.8980631e-007 -0.258022
-4.8975631e-007 -0.290565
-4.8970631e-007 -0.23715
-4.8965631e-007 -0.222732
-4.8960631e-007 -0.2826
-4.8955631e-007 -0.263789
-4.8950631e-007 -0.192524
-4.8945631e-007 -0.179342
-4.8940631e-007 -0.201312
-4.8935631e-007 -0.243192
-4.8930631e-007 -0.264613
-4.8925631e-007 -0.232894
-4.8920631e-007 -0.213395
-4.8915631e-007 -0.219574
-4.8910631e-007 -0.227538
-4.8905631e-007 -0.250744
-4.8900631e-007 -0.279717
-4.8895631e-007 -0.26626
-4.8890631e-007 -0.210374
-4.8885631e-007 -0.184285
-4.8880631e-007 -0.19678
-4.8875631e-007 -0.219162
-4.8870631e-007 -0.237425
-4.8865631e-007 -0.215867
-4.8860631e-007 -0.211885
-4.8855631e-007 -0.242231
-4.8850631e-007 -0.228362
-4.8845631e-007 -0.233168
-4.8840631e-007 -0.277657
-4.8835631e-007 -0.26681
-4.8830631e-007 -0.223419
-4.8825631e-007 -0.220261
-4.8820631e-007 -0.243329
-4.8815631e-007 -0.236738
-4.8810631e-007 -0.200488
-4.8805631e-007 -0.199115
-4.8800631e-007 -0.248959
-4.8795631e-007 -0.259257
-4.8790631e-007 -0.212022
-4.8785631e-007 -0.199115
-4.8780631e-007 -0.229323
-4.8775631e-007 -0.256648
-4.8770631e-007 -0.254314
-4.8765631e-007 -0.215318
-4.8760631e-007 -0.204058
-4.8755631e-007 -0.228774
-4.8750631e-007 -0.212983
-4.8745631e-007 -0.195819
-4.8740631e-007 -0.223968
-4.8735631e-007 -0.238386
-4.8730631e-007 -0.21518
-4.8725631e-007 -0.2009
-4.8720631e-007 -0.222183
-4.8715631e-007 -0.229461
-4.8710631e-007 -0.203371
-4.8705631e-007 -0.19678
-4.8700631e-007 -0.222732
-4.8695631e-007 -0.242093
-4.8690631e-007 -0.226165
-4.8685631e-007 -0.212159
-4.8680631e-007 -0.241132
-4.8675631e-007 -0.258296
-4.8670631e-007 -0.223007
-4.8665631e-007 -0.191563
-4.8660631e-007 -0.207491
-4.8655631e-007 -0.222732
-4.8650631e-007 -0.220261
-4.8645631e-007 -0.236052
-4.8640631e-007 -0.261317
-4.8635631e-007 -0.254726
-4.8630631e-007 -0.222732
-4.8625631e-007 -0.228637
-4.8620631e-007 -0.255138
-4.8615631e-007 -0.256786
-4.8610631e-007 -0.244153
-4.8605631e-007 -0.230559
-4.8600631e-007 -0.240446
-4.8595631e-007 -0.254314
-4.8590631e-007 -0.230422
-4.8585631e-007 -0.208177
-4.8580631e-007 -0.225479
-4.8575631e-007 -0.230147
-4.8570631e-007 -0.199664
-4.8565631e-007 -0.193622
-4.8560631e-007 -0.227401
-4.8555631e-007 -0.23715
-4.8550631e-007 -0.219849
-4.8545631e-007 -0.225616
-4.8540631e-007 -0.242231
-4.8535631e-007 -0.237562
-4.8530631e-007 -0.209001
-4.8525631e-007 -0.201449
-4.8520631e-007 -0.240446
-4.8515631e-007 -0.251156
-4.8510631e-007 -0.211336
-4.8505631e-007 -0.203509
-4.8500631e-007 -0.230147
-4.8495631e-007 -0.233443
-4.8490631e-007 -0.218064
-4.8485631e-007 -0.224929
-4.8480631e-007 -0.256923
-4.8475631e-007 -0.264063
-4.8470631e-007 -0.230285
-4.8465631e-007 -0.201861
-4.8460631e-007 -0.206255
-4.8455631e-007 -0.204607
-4.8450631e-007 -0.181539
-4.8445631e-007 -0.196369
-4.8440631e-007 -0.238523
-4.8435631e-007 -0.255138
-4.8430631e-007 -0.247586
-4.8425631e-007 -0.227676
-4.8420631e-007 -0.228774
-4.8415631e-007 -0.235365
-4.8410631e-007 -0.209001
-4.8405631e-007 -0.202136
-4.8400631e-007 -0.248684
-4.8395631e-007 -0.271066
-4.8390631e-007 -0.226714
-4.8385631e-007 -0.210924
-4.8380631e-007 -0.258571
-4.8375631e-007 -0.267084
-4.8370631e-007 -0.223831
-4.8365631e-007 -0.211061
-4.8360631e-007 -0.226165
-4.8355631e-007 -0.2285
-4.8350631e-007 -0.233031
-4.8345631e-007 -0.232894
-4.8340631e-007 -0.214219
-4.8335631e-007 -0.215455
-4.8330631e-007 -0.233717
-4.8325631e-007 -0.237013
-4.8320631e-007 -0.233855
-4.8315631e-007 -0.230285
-4.8310631e-007 -0.226303
