LECROY;WAVERUNNER8404M;LCRY4256N21099;8.4.1;TCPIP0::192.168.41.155
TriggerTime,2022-05-11--14-33-39.757
RelativeTime Ch.#1 Ch.#2 Ch.#3 Ch.#4
[s] [V] [V] [V] [V]
-8.852372E-8 -6.971020E-3 6.872886E-4 -3.884843E-2 -1.958210E-1
-8.847372E-8 -7.072630E-3 5.945154E-4 -3.695351E-2 -2.326205E-1
-8.842372E-8 -6.957289E-3 5.143557E-4 -3.739291E-2 -2.441547E-1
-8.837372E-8 -6.777409E-3 4.765140E-4 -3.880724E-2 -2.173789E-1
-8.832372E-8 -6.595472E-3 4.691898E-4 -3.739291E-2 -2.018626E-1
-8.827372E-8 -6.202073E-3 4.667484E-4 -3.678876E-2 -2.171042E-1
-8.822372E-8 -6.329087E-3 4.655276E-4 -3.912306E-2 -2.452533E-1
-8.817372E-8 -7.209943E-3 4.720381E-4 -3.976843E-2 -2.396235E-1
-8.812372E-8 -7.369225E-3 4.748863E-4 -3.872484E-2 -2.040596E-1
-8.807372E-8 -6.564576E-3 4.634932E-4 -3.924662E-2 -2.048836E-1
-8.802372E-8 -6.254937E-3 4.504723E-4 -3.876606E-2 -2.427816E-1
-8.797372E-8 -6.578994E-3 4.577965E-4 -3.695351E-2 -2.478621E-1
-8.792372E-8 -6.719739E-3 4.838381E-4 -3.721443E-2 -2.360535E-1
-8.787372E-8 -6.561143E-3 5.005212E-4 -3.979588E-2 -2.609069E-1
-8.782372E-8 -6.485621E-3 4.879073E-4 -4.351702E-2 -2.681844E-1
-8.777372E-8 -6.895498E-3 4.602380E-4 -4.418987E-2 -2.147701E-1
-8.772372E-8 -7.147466E-3 4.427412E-4 -4.125139E-2 -1.826389E-1
-8.767372E-8 -6.649709E-3 4.447757E-4 -3.954872E-2 -2.305608E-1
-8.762372E-8 -6.425891E-3 4.695966E-4 -4.049617E-2 -2.731276E-1
-8.757372E-8 -6.872842E-3 5.265628E-4 -4.277554E-2 -2.464890E-1
-8.752372E-8 -7.082929E-3 6.083499E-4 -4.130632E-2 -2.239699E-1
-8.747372E-8 -6.784275E-3 6.767092E-4 -3.511354E-2 -2.554142E-1
-8.742372E-8 -6.636665E-3 6.942060E-4 -3.301266E-2 -2.710679E-1
-8.737372E-8 -7.101466E-3 6.518883E-4 -3.736547E-2 -2.323458E-1
-8.732372E-8 -7.463283E-3 5.538252E-4 -4.066095E-2 -2.018626E-1
-8.727372E-8 -6.974452E-3 4.150718E-4 -4.067469E-2 -2.431936E-1
-8.722372E-8 -6.432757E-3 2.836429E-4 -4.348958E-2 -2.983930E-1
-8.717372E-8 -6.539860E-3 2.270837E-4 -4.758146E-2 -2.716172E-1
-8.712372E-8 -6.743082E-3 2.665531E-4 -4.549432E-2 -2.353668E-1
-8.707372E-8 -6.612635E-3 3.528162E-4 -4.079825E-2 -2.595336E-1
-8.702372E-8 -6.414906E-3 4.264652E-4 -3.939769E-2 -2.547278E-1
-8.697372E-8 -6.467772E-3 4.769210E-4 -4.034513E-2 -2.133968E-1
-8.692372E-8 -6.541920E-3 5.237146E-4 -4.112780E-2 -2.297370E-1
-8.687372E-8 -6.333892E-3 5.688805E-4 -4.071587E-2 -2.676351E-1
-8.682372E-8 -6.342131E-3 5.904462E-4 -3.854635E-2 -2.607696E-1
-8.677372E-8 -6.848812E-3 5.664390E-4 -3.507236E-2 -2.458024E-1
-8.672372E-8 -6.868722E-3 4.997074E-4 -3.540191E-2 -2.317967E-1
-8.667372E-8 -6.068193E-3 4.187340E-4 -3.877977E-2 -2.333071E-1
